Date,WKL,Quanity,Value,AAPL,Quanity,Value,CL,Quanity,Value,CNI,Quanity,Value,GOOGL,Quanity,Value,KO,Quanity,Value,MCD,Quanity,Value,NKE,Quanity,Value,PGR,Quanity,Value,TJX,Quanity,Value,UL,Quanity,Value,V,Quanity,Value,WM,Quanity,Value,WMT,Quanity,Value,USD Rate,Total USD Value,EUR Rate,Total EUR Value,Total Value GBP,Dividends & Fees,Net Total Value GBP,Cumulative Deposits,Net Profit,S&P500
08/04/2020,67.84,,,109.67,,,76.77,2,153.54,97.41,2,194.82,73.67,,,46.69,8,373.52,199.36,,,97.33,4,389.32,90.25,,,53.28,,,69.47,8,555.76,192.29,,,108.82,,,43.88,,,0.764170,1667,0.902840,,1274,-2.32,1272,1700,-428,3307
08/05/2020,70.06,,,110.06,,,76.18,2,152.36,98.34,2,196.68,73.95,,,47.22,8,377.76,199.26,,,100.94,4,403.76,90.62,,,53.54,,,68.83,8,550.64,196.10,,,109.18,,,43.27,,,0.761800,1681,0.904420,,1281,-2.32,1278,1700,-422,3328
08/06/2020,68.78,,,113.90,,,75.86,2,151.72,99.46,2,198.92,75.25,,,47.48,8,379.84,203.18,,,100.45,4,401.80,89.61,,,53.41,,,67.97,8,543.76,198.77,,,110.37,,,43.12,,,0.761150,1676,0.903750,,1276,-2.32,1273,1700,-427,3349
08/07/2020,68.92,,,111.11,,,76.24,2,152.48,100.08,2,200.16,74.92,,,47.80,8,382.40,204.60,,,101.86,4,407.44,90.73,,,55.45,,,67.15,8,537.20,196.36,,,112.72,,,43.32,,,0.766225,1680,0.901700,,1287,-2.32,1285,1700,-415,3351
08/10/2020,69.04,,,112.73,,,76.65,2,153.30,101.45,2,202.90,74.84,,,47.72,8,381.76,204.12,,,105.41,4,421.64,90.12,,,56.52,,,67.02,8,536.16,196.79,,,111.61,,,43.96,,,0.764690,1696,0.897540,,1297,-2.32,1294,1700,-406,3360
08/11/2020,69.58,,,109.38,,,75.96,2,151.92,101.84,2,203.68,74.03,,,47.93,8,383.44,205.00,,,105.12,4,420.48,89.02,,,57.51,,,66.13,8,529.04,197.77,,,111.59,,,43.40,,,0.766240,1689,0.899250,,1294,-2.32,1292,1700,-408,3334
08/12/2020,70.70,,,113.01,,,77.24,2,154.48,102.85,2,205.70,75.36,,,48.43,8,387.44,206.02,,,105.22,4,420.88,89.01,,,57.73,,,67.70,8,541.60,198.74,,,112.25,,,43.96,,,0.766400,1710,0.903930,,1311,-2.32,1308,1700,-392,3380
08/13/2020,70.54,,,115.01,,,76.98,2,153.96,102.54,2,205.08,75.83,,,48.38,8,387.04,206.49,,,106.52,4,426.08,89.04,,,57.11,,,67.40,8,539.20,197.58,,,111.34,,,43.95,,,0.765080,1711,0.904000,,1309,-2.32,1307,1700,-393,3373
08/14/2020,69.54,,,114.91,,,77.05,2,154.10,102.48,2,204.96,75.23,,,48.45,8,387.60,207.03,,,106.43,4,425.72,88.97,,,57.87,,,66.87,8,534.96,196.64,,,111.47,,,44.20,,,0.764059,1707,0.904950,,1305,-2.32,1302,1700,-398,3373
08/17/2020,70.16,,,114.61,,,77.21,2,154.42,104.06,2,208.12,75.81,,,48.21,8,385.68,208.67,,,105.66,4,422.64,88.83,,,59.41,,,67.22,8,537.76,199.43,,,110.87,,,45.20,,,0.762900,1709,0.905900,,1304,-2.32,1301,1700,-399,3382
08/18/2020,69.88,,,115.56,,,77.65,2,155.30,104.49,2,208.98,77.79,,,48.42,8,387.36,210.32,,,106.97,4,427.88,89.74,,,57.45,,,67.56,8,540.48,199.01,,,111.01,,,44.90,,,0.754490,1720,0.901400,,1298,-2.32,1295,1700,-405,3390
08/19/2020,70.58,,,115.71,,,77.95,2,155.90,104.29,2,208.58,77.23,,,47.37,8,378.96,209.51,,,108.39,4,433.56,90.41,,,54.36,,,67.56,8,540.48,200.99,,,110.56,,,44.14,,,0.762730,1717,0.903400,,1310,-2.32,1308,1700,-392,3375
